model-1588501844, 1588501849.407, 0.58, 0.2413, 0.69, 0.2186
model-1588501844, 1588501849.449, 0.62, 0.2368, 0.65, 0.2113
model-1588501844, 1588501849.493, 0.63, 0.2448, 0.61, 0.235
model-1588501844, 1588501849.535, 0.68, 0.2022, 0.54, 0.2666
model-1588501844, 1588501849.577, 0.72, 0.2159, 0.6, 0.2314
model-1588501844, 1588501849.622, 0.55, 0.2419, 0.67, 0.2227
model-1588501844, 1588501849.666, 0.63, 0.2218, 0.64, 0.2243
model-1588501844, 1588501849.714, 0.64, 0.2201, 0.57, 0.2269
model-1588501844, 1588501849.765, 0.66, 0.2248, 0.64, 0.2338
model-1588501844, 1588501849.811, 0.61, 0.2448, 0.55, 0.2423
model-1588501844, 1588501849.859, 0.64, 0.224, 0.54, 0.2575
model-1588501844, 1588501849.91, 0.62, 0.2253, 0.66, 0.2149
model-1588501844, 1588501849.962, 0.62, 0.2321, 0.65, 0.2204
model-1588501844, 1588501850.011, 0.59, 0.2497, 0.63, 0.2272
model-1588501844, 1588501850.063, 0.61, 0.2355, 0.66, 0.2248
model-1588501844, 1588501850.107, 0.62, 0.2208, 0.66, 0.2255
model-1588501844, 1588501850.156, 0.55, 0.2488, 0.56, 0.2456
model-1588501844, 1588501850.207, 0.6, 0.2306, 0.67, 0.2243
model-1588501844, 1588501850.251, 0.55, 0.237, 0.62, 0.2247
model-1588501844, 1588501850.3, 0.65, 0.2193, 0.67, 0.2252
model-1588501844, 1588501850.348, 0.63, 0.2298, 0.66, 0.2266
model-1588501844, 1588501850.401, 0.63, 0.2199, 0.64, 0.2289
model-1588501844, 1588501850.449, 0.64, 0.217, 0.42, 0.2861
model-1588501844, 1588501850.495, 0.43, 0.278, 0.58, 0.2403
model-1588501844, 1588501850.544, 0.67, 0.2191, 0.68, 0.2218
model-1588501844, 1588501850.589, 0.54, 0.2453, 0.66, 0.2271
model-1588501844, 1588501850.643, 0.61, 0.2339, 0.57, 0.2449
model-1588501844, 1588501850.689, 0.6, 0.2358, 0.64, 0.2314
model-1588501844, 1588501850.731, 0.55, 0.2364, 0.6, 0.2287
model-1588501844, 1588501850.776, 0.52, 0.2434, 0.63, 0.2297
model-1588501844, 1588501850.819, 0.61, 0.2263, 0.62, 0.2389
model-1588501844, 1588501850.862, 0.62, 0.2248, 0.61, 0.2294
model-1588501844, 1588501850.905, 0.61, 0.223, 0.62, 0.25
model-1588501844, 1588501850.948, 0.61, 0.2424, 0.67, 0.2297
model-1588501844, 1588501850.99, 0.61, 0.227, 0.57, 0.2473
model-1588501844, 1588501851.033, 0.62, 0.2267, 0.63, 0.2273
model-1588501844, 1588501851.077, 0.61, 0.2345, 0.59, 0.2364
model-1588501844, 1588501851.128, 0.63, 0.2272, 0.51, 0.2516
model-1588501844, 1588501851.176, 0.56, 0.2441, 0.48, 0.2695
model-1588501844, 1588501851.223, 0.48, 0.251, 0.48, 0.2603
model-1588501844, 1588501851.272, 0.65, 0.2345, 0.65, 0.2201
model-1588501844, 1588501851.322, 0.6, 0.2368, 0.56, 0.2446
model-1588501844, 1588501851.371, 0.69, 0.2229, 0.62, 0.2276
model-1588501844, 1588501851.421, 0.59, 0.2202, 0.56, 0.2506
model-1588501844, 1588501851.472, 0.68, 0.225, 0.62, 0.2224
model-1588501844, 1588501851.515, 0.66, 0.2138, 0.54, 0.2586
model-1588501844, 1588501851.564, 0.6, 0.2465, 0.58, 0.2409
model-1588501844, 1588501851.613, 0.65, 0.2132, 0.53, 0.2596
model-1588501844, 1588501851.659, 0.47, 0.2506, 0.61, 0.2369
model-1588501844, 1588501851.705, 0.57, 0.2378, 0.67, 0.2212
model-1588501844, 1588501851.754, 0.59, 0.2274, 0.63, 0.2235
model-1588501844, 1588501851.803, 0.67, 0.2028, 0.63, 0.2277
model-1588501844, 1588501851.848, 0.69, 0.2209, 0.58, 0.2314
model-1588501844, 1588501851.9, 0.55, 0.2391, 0.58, 0.2392
model-1588501844, 1588501851.948, 0.63, 0.221, 0.65, 0.2171
model-1588501844, 1588501851.998, 0.65, 0.209, 0.64, 0.232
model-1588501844, 1588501852.044, 0.65, 0.2225, 0.65, 0.2347
model-1588501844, 1588501852.094, 0.64, 0.2328, 0.64, 0.2391
model-1588501844, 1588501852.147, 0.56, 0.2425, 0.7, 0.2167
model-1588501844, 1588501852.198, 0.67, 0.2061, 0.64, 0.2142
model-1588501844, 1588501852.245, 0.52, 0.2601, 0.69, 0.2099
model-1588501844, 1588501852.295, 0.58, 0.2483, 0.61, 0.2332
model-1588501844, 1588501852.343, 0.65, 0.2162, 0.65, 0.2205
model-1588501844, 1588501852.393, 0.63, 0.2321, 0.56, 0.2362
model-1588501844, 1588501852.438, 0.54, 0.253, 0.65, 0.2194
model-1588501844, 1588501852.486, 0.62, 0.2401, 0.65, 0.2118
model-1588501844, 1588501852.532, 0.57, 0.2408, 0.58, 0.2189
model-1588501844, 1588501852.579, 0.63, 0.2342, 0.58, 0.2343
model-1588501844, 1588501852.629, 0.54, 0.24, 0.6, 0.2324
model-1588501844, 1588501852.674, 0.56, 0.241, 0.55, 0.2423
model-1588501844, 1588501852.72, 0.5, 0.2476, 0.55, 0.2386
model-1588501844, 1588501852.768, 0.59, 0.2311, 0.64, 0.2355
model-1588501844, 1588501852.814, 0.67, 0.2215, 0.63, 0.2324
model-1588501844, 1588501852.862, 0.62, 0.2287, 0.61, 0.2239
model-1588501844, 1588501852.913, 0.59, 0.2337, 0.68, 0.2235
model-1588501844, 1588501852.959, 0.62, 0.2285, 0.66, 0.2223
model-1588501844, 1588501853.011, 0.66, 0.2249, 0.61, 0.2224
model-1588501844, 1588501853.056, 0.58, 0.2361, 0.71, 0.2161
model-1588501844, 1588501853.1, 0.55, 0.2363, 0.6, 0.2301
model-1588501844, 1588501853.144, 0.65, 0.2236, 0.73, 0.2076
model-1588501844, 1588501853.19, 0.68, 0.2059, 0.65, 0.2164
model-1588501844, 1588501853.236, 0.63, 0.2182, 0.58, 0.2267
model-1588501844, 1588501853.283, 0.59, 0.2412, 0.64, 0.226
model-1588501844, 1588501853.328, 0.64, 0.23, 0.6, 0.2329
model-1588501844, 1588501853.37, 0.65, 0.2265, 0.71, 0.2031
model-1588501844, 1588501853.412, 0.64, 0.2262, 0.65, 0.211
model-1588501844, 1588501853.457, 0.62, 0.2416, 0.63, 0.2287
model-1588501844, 1588501853.501, 0.63, 0.2412, 0.61, 0.2204
model-1588501844, 1588501853.544, 0.63, 0.2146, 0.68, 0.213
model-1588501844, 1588501853.587, 0.59, 0.2376, 0.64, 0.2209
model-1588501844, 1588501853.629, 0.61, 0.2266, 0.67, 0.2249
model-1588501844, 1588501853.672, 0.7, 0.2094, 0.64, 0.2119
model-1588501844, 1588501853.715, 0.64, 0.2288, 0.64, 0.2143
model-1588501844, 1588501853.758, 0.55, 0.2549, 0.55, 0.2449
model-1588501844, 1588501853.8, 0.56, 0.2386, 0.66, 0.223
model-1588501844, 1588501853.843, 0.65, 0.2228, 0.6, 0.2312
model-1588501844, 1588501853.886, 0.57, 0.2469, 0.64, 0.2229
model-1588501844, 1588501853.928, 0.73, 0.2112, 0.63, 0.2292
model-1588501844, 1588501853.976, 0.66, 0.2326, 0.64, 0.2168
model-1588501844, 1588501854.018, 0.64, 0.2226, 0.66, 0.2049
model-1588501844, 1588501854.061, 0.57, 0.2343, 0.63, 0.2334
model-1588501844, 1588501854.106, 0.64, 0.2351, 0.6, 0.2389
model-1588501844, 1588501854.151, 0.58, 0.2418, 0.62, 0.2279
model-1588501844, 1588501854.193, 0.67, 0.2188, 0.61, 0.2292
model-1588501844, 1588501854.24, 0.58, 0.2318, 0.65, 0.2191
model-1588501844, 1588501854.282, 0.56, 0.2367, 0.51, 0.2521
model-1588501844, 1588501854.326, 0.61, 0.2251, 0.64, 0.2253
model-1588501844, 1588501854.358, 0.62, 0.2257, 0.6, 0.2312
model-1588501844, 1588501854.404, 0.65, 0.2264, 0.59, 0.23
model-1588501844, 1588501854.449, 0.63, 0.2158, 0.71, 0.2089
model-1588501844, 1588501854.492, 0.58, 0.2319, 0.7, 0.2114
model-1588501844, 1588501854.535, 0.65, 0.2196, 0.66, 0.223
model-1588501844, 1588501854.577, 0.64, 0.229, 0.66, 0.2186
model-1588501844, 1588501854.62, 0.69, 0.2133, 0.58, 0.2429
model-1588501844, 1588501854.668, 0.65, 0.2223, 0.66, 0.2136
model-1588501844, 1588501854.71, 0.61, 0.2239, 0.61, 0.2332
model-1588501844, 1588501854.754, 0.62, 0.2247, 0.65, 0.2321
model-1588501844, 1588501854.798, 0.71, 0.2048, 0.67, 0.2064
model-1588501844, 1588501854.84, 0.67, 0.2183, 0.63, 0.2141
model-1588501844, 1588501854.882, 0.62, 0.2343, 0.65, 0.2125
model-1588501844, 1588501854.926, 0.62, 0.2263, 0.68, 0.2188
model-1588501844, 1588501854.969, 0.69, 0.2001, 0.74, 0.2013
model-1588501844, 1588501855.011, 0.63, 0.2149, 0.59, 0.2513
model-1588501844, 1588501855.055, 0.62, 0.2427, 0.67, 0.2027
model-1588501844, 1588501855.098, 0.62, 0.238, 0.66, 0.2133
model-1588501844, 1588501855.14, 0.66, 0.2106, 0.61, 0.234
model-1588501844, 1588501855.183, 0.54, 0.2463, 0.68, 0.2018
model-1588501844, 1588501855.227, 0.62, 0.2315, 0.62, 0.2183
model-1588501844, 1588501855.27, 0.72, 0.1922, 0.61, 0.2333
model-1588501844, 1588501855.315, 0.57, 0.2361, 0.64, 0.2307
model-1588501844, 1588501855.357, 0.7, 0.211, 0.67, 0.2209
model-1588501844, 1588501855.399, 0.64, 0.2252, 0.6, 0.2318
model-1588501844, 1588501855.443, 0.68, 0.2175, 0.63, 0.2296
model-1588501844, 1588501855.485, 0.64, 0.2152, 0.7, 0.2111
model-1588501844, 1588501855.527, 0.63, 0.2293, 0.65, 0.2259
